gen,avg_score,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,0.48,S,R,R,S,L,L,R,S,L,L,R,S,R,L,R,L,L,L,L,L,L,L,L,L,R,S,S,S,L,L,L,S,L,L,L,S,L,L,S,R,L,L,L,L,L,L,L,L,S,S,R,R,S,L,L,S,L,L,S,S,L,L,L,L,L,L,L,L,L,L,L,L
1,0.32,S,S,S,S,S,L,S,S,S,L,S,L,R,R,S,R,S,R,S,S,L,R,L,R,S,S,S,S,S,S,S,S,S,S,S,S,R,R,R,L,S,R,L,L,R,R,R,R,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,R,S,S
2,0.28,S,S,S,R,S,R,S,R,S,L,S,R,L,R,R,R,L,L,L,L,R,R,L,R,S,R,S,R,S,R,S,R,S,R,S,R,S,R,R,R,L,R,S,R,R,R,R,R,S,R,S,R,S,R,S,R,S,R,R,R,S,R,R,R,S,R,S,R,R,R,R,R
3,0.79,L,L,L,L,L,L,R,R,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,R,L,R,R,R,L,L,L,L,L,L,L,R,L,L,L,L,L,L,L,L,L,R,S,L,L,L,S,R,L,L,S,L,L,L,L,R,L,L,L,L,L,L,L,L
4,1.11,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,R,S,R,L,L,S,L,L,R,L,R,L,L,L,L,L,L,L,R,S,R,S,R,R,R,S,R,S,L,S,L,L,R,S,R,L,L,S,L,L,L,R,L
5,0.72,R,R,R,R,R,R,R,R,L,R,L,R,R,R,R,R,L,R,R,R,L,R,R,R,S,R,S,R,R,R,S,R,R,R,S,R,R,R,R,R,L,R,L,R,R,R,R,R,S,S,S,S,S,R,S,S,S,R,S,R,S,R,S,R,R,R,R,R,R,R,R,R
6,0.94,R,R,R,R,R,R,R,R,L,L,L,L,L,L,L,R,L,L,L,L,L,L,L,L,R,R,S,R,R,R,R,R,R,R,S,S,R,R,R,R,L,L,L,S,R,R,L,R,R,R,S,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,S,R,R,R,R
7,1.34,R,R,S,S,R,R,R,R,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,R,R,R,R,R,R,S,S,R,R,R,R,L,L,L,S,R,R,L,L,S,R,S,S,R,R,S,R,R,R,S,S,R,R,R,R,R,R,S,S,R,R,R,R
8,1.13,R,R,R,R,R,R,R,R,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,R,R,R,R,R,R,L,R,S,R,R,R,R,R,L,L,L,L,L,L,L,L,S,S,S,R,R,R,R,R,S,R,S,R,R,R,R,R,L,R,R,R,R,R,R,R
9,1.55,R,R,R,R,R,R,R,R,L,L,L,L,L,L,L,R,L,L,L,L,L,L,L,L,R,R,S,S,R,R,R,R,L,R,S,S,R,R,S,R,L,L,L,L,L,L,L,L,R,R,S,R,R,R,R,R,S,R,S,S,R,R,S,R,L,L,S,S,L,R,S,L
