gen,best_score,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,3.0,L,L,L,L,L,L,L,L,L,L,R,L,L,L,L,L,S,L,S,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,R,L,L,L,L,L,S,L,S,S,L,L,S,L,L,L,L,L,L,L,L,L,S,L,S,L,L,L,L,L,S,L,S,S,L,L,L,L
1,7.0,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,L,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S
2,11.0,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,L,S,L,L,L,S,S,L,S,S,S,L,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S
3,5.0,S,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,S,L,L,S,L,L,L,L,L,L,R,L,L,L,R,L,L,L,R,L,S,S,S,S,S,S,L,S,S,S,S,S,R,L,R,L,R,L,R,L,R,L,R,R
4,6.0,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,L,S,S,S,L,L,R,L,L,L,S,L,L,L,S,L,L,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S
5,8.0,L,L,L,L,L,L,L,L,L,L,R,R,L,L,R,L,S,S,R,S,S,S,R,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,S,S,S,S,L,L,S,S,L,L,L,L,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S
6,9.0,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,S,L,L,L,S,L,L,L,S,L,L,L,S,L,L,L,S,L,L,L,L,L,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,L,L,S,L,S,L,S
7,11.0,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,L,L,L
8,13.0,R,R,R,L,R,R,L,S,L,S,L,S,L,R,L,L,L,S,L,S,L,L,L,S,S,S,S,S,R,S,L,S,R,S,S,S,L,L,L,S,S,S,S,S,L,R,L,S,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,R,S,S,S,R,R,L,S
9,9.0,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,S,S,S,L,S,S,L,L,S,L,L,L,S,L,L,L,L,L,L,L,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,L,S,S,L,L,S,L
10,11.0,L,S,L,S,L,S,L,S,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,S,L,S,L,S,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,L,S,S,S,S,S,S,S,L,L,L,S,L,S,S,S,L,L,L,L
11,11.0,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,L,L,L,L,S,S,S,S,L,L,L,L,L,S,L,L,L,L,L,L
12,13.0,L,L,L,L,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,S,S,S,S,S,L,L,L,S,L,S,S,S,L,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
13,14.0,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,L,L,L,L,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,L,L,L,L
14,14.0,L,L,L,S,L,L,L,S,L,L,L,L,L,L,L,S,L,L,L,R,L,L,L,L,S,S,S,S,L,L,L,S,L,L,L,S,L,L,L,S,L,L,L,S,L,L,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,L,L,S
15,14.0,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
16,18.0,L,L,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
17,9.0,L,L,L,L,L,L,L,L,L,L,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,L,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,S,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
18,15.0,L,R,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
19,14.0,L,L,L,L,L,L,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
20,13.0,L,L,L,S,L,S,L,S,L,S,S,S,L,S,L,S,L,S,S,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,S,S,L,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
21,15.0,L,S,L,S,L,S,S,S,L,S,S,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
22,13.0,L,R,L,S,R,R,L,S,L,S,L,S,L,S,L,S,R,S,R,S,S,S,R,S,L,S,L,S,L,S,S,S,L,S,L,S,L,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
23,16.0,L,L,L,S,L,L,L,S,L,S,L,S,L,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,L,S,L,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
24,15.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
25,12.0,L,S,L,R,L,S,L,R,L,S,L,L,L,S,L,S,R,S,L,S,L,S,L,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
26,14.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,S,L,S,L,S
27,13.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
28,17.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,R,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
29,18.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,L,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,L,S,S,S
30,16.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,R,S,R,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
31,13.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,S,S,S
32,15.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,S,L,S,S,S
33,15.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,R,S,L,S,L,S
34,15.0,L,S,L,S,L,S,L,S,L,S,L,L,L,S,L,L,L,S,L,L,L,S,L,L,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,S,L,S,L,S,L,S
35,18.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
36,14.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,L,L,L,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S,L,S,L,S
37,16.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
38,14.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
39,17.0,L,S,L,S,L,S,L,S,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S
40,16.0,L,S,L,S,L,S,L,S,L,S,L,L,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
41,14.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,L,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,L,S
42,19.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,R,S,L,S,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
43,18.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
44,13.0,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,L,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
45,15.0,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,L,L,L,S,S,S,S,S,S,L,S,S,S,L,S,L,S,L,S,S,S,L,S,L,S,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,S,S,L,S
46,16.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,L,L,S,L,S,S,S,S,S,S,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
47,14.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,L,L,L,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,S,S,S,S,S,L,S,L,S
48,13.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
49,15.0,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,L,L,L,L,L,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,S,L,L,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,L,S,L,S
